,activateable,associateEntityType,associateParentEntity,createable,custom,customSetting,deepCloneable,deletable,deprecatedAndHidden,feedEnabled,hasSubtypes,isInterface,isSubtype,keyPrefix,label,labelPlural,layoutable,mergeable,mruEnabled,name,queryable,replicateable,retrieveable,searchable,triggerable,undeletable,updateable,urls
574,False,,,True,False,False,False,True,False,False,False,False,False,557,Milestone,Milestones,False,False,False,MilestoneType,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MilestoneType/{ID}'), ('describe', '/services/data/v57.0/sobjects/MilestoneType/describe'), ('sobject', '/services/data/v57.0/sobjects/MilestoneType')])"
575,False,,,True,False,False,False,False,False,False,False,False,False,0IW,Mobile Application Detail,Mobile Application Details,False,False,False,MobileApplicationDetail,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MobileApplicationDetail/{ID}'), ('describe', '/services/data/v57.0/sobjects/MobileApplicationDetail/describe'), ('sobject', '/services/data/v57.0/sobjects/MobileApplicationDetail')])"
576,False,,,True,False,False,False,True,False,False,False,False,False,3Or,Messaging Channel Language Keyword,Messaging Channel Language Keywords,False,False,False,MsgChannelLanguageKeyword,True,False,True,True,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MsgChannelLanguageKeyword/{ID}'), ('describe', '/services/data/v57.0/sobjects/MsgChannelLanguageKeyword/describe'), ('sobject', '/services/data/v57.0/sobjects/MsgChannelLanguageKeyword')])"
577,False,,,True,False,False,False,True,False,False,False,False,False,0QM,Muting Permission Set,Muting Permission Set,False,False,False,MutingPermissionSet,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MutingPermissionSet/{ID}'), ('describe', '/services/data/v57.0/sobjects/MutingPermissionSet/describe'), ('sobject', '/services/data/v57.0/sobjects/MutingPermissionSet')])"
578,False,,,True,False,False,False,True,False,False,False,False,False,4hy,My Domain Discoverable Login,My Domain Discoverable Logins,False,False,False,MyDomainDiscoverableLogin,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/MyDomainDiscoverableLogin/{ID}'), ('describe', '/services/data/v57.0/sobjects/MyDomainDiscoverableLogin/describe'), ('sobject', '/services/data/v57.0/sobjects/MyDomainDiscoverableLogin')])"
579,False,,,False,False,False,False,False,False,False,False,False,False,,Name,Names,False,False,False,Name,False,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/Name/{ID}'), ('describe', '/services/data/v57.0/sobjects/Name/describe'), ('sobject', '/services/data/v57.0/sobjects/Name')])"
580,False,,,False,False,False,False,False,False,False,False,False,False,0XA,Named Credential,Named Credentials,False,False,True,NamedCredential,True,False,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/NamedCredential/{ID}'), ('describe', '/services/data/v57.0/sobjects/NamedCredential/describe'), ('sobject', '/services/data/v57.0/sobjects/NamedCredential')])"
581,False,,,True,False,False,False,True,False,False,False,False,False,002,Note,Notes,True,False,False,Note,True,True,True,True,True,True,True,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/Note/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/Note/{ID}'), ('describe', '/services/data/v57.0/sobjects/Note/describe'), ('layouts', '/services/data/v57.0/sobjects/Note/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/Note')])"
582,False,,,False,False,False,False,False,False,False,False,False,False,,Note and Attachment,Notes and Attachments,False,False,False,NoteAndAttachment,False,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/NoteAndAttachment/{ID}'), ('describe', '/services/data/v57.0/sobjects/NoteAndAttachment/describe'), ('sobject', '/services/data/v57.0/sobjects/NoteAndAttachment')])"
583,False,,,True,False,False,False,True,False,False,False,False,False,7ud,OAuth Custom Scope,OAuth Custom Scopes,False,False,False,OauthCustomScope,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/OauthCustomScope/{ID}'), ('describe', '/services/data/v57.0/sobjects/OauthCustomScope/describe'), ('sobject', '/services/data/v57.0/sobjects/OauthCustomScope')])"
584,False,,,True,False,False,False,True,False,False,False,False,False,7ue,OAuth Custom Scope App ,OAuth Custom Scope Apps,False,False,False,OauthCustomScopeApp,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/OauthCustomScopeApp/{ID}'), ('describe', '/services/data/v57.0/sobjects/OauthCustomScopeApp/describe'), ('sobject', '/services/data/v57.0/sobjects/OauthCustomScopeApp')])"
585,False,,,False,False,False,False,False,False,False,False,False,False,0CQ,Oauth Token,Oauth Tokens,False,False,False,OauthToken,True,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/OauthToken/{ID}'), ('describe', '/services/data/v57.0/sobjects/OauthToken/describe'), ('sobject', '/services/data/v57.0/sobjects/OauthToken')])"
586,False,,,True,False,False,False,True,False,False,False,False,False,110,Object Permissions,Object Permissions,False,False,False,ObjectPermissions,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/ObjectPermissions/{ID}'), ('describe', '/services/data/v57.0/sobjects/ObjectPermissions/describe'), ('sobject', '/services/data/v57.0/sobjects/ObjectPermissions')])"
587,False,ChangeEvent,Offer__c,False,False,False,False,False,False,False,False,False,False,,Change Event: Offer,Change Event: Offer,False,False,False,Offer__ChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/Offer__ChangeEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/Offer__ChangeEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/Offer__ChangeEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/Offer__ChangeEvent')])"
588,False,,,True,True,False,False,True,False,False,False,False,False,a02,Offer,Offers,True,False,True,Offer__c,True,True,True,False,True,True,True,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/Offer__c/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/Offer__c/{ID}'), ('approvalLayouts', '/services/data/v57.0/sobjects/Offer__c/describe/approvalLayouts'), ('describe', '/services/data/v57.0/sobjects/Offer__c/describe'), ('quickActions', '/services/data/v57.0/sobjects/Offer__c/quickActions'), ('layouts', '/services/data/v57.0/sobjects/Offer__c/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/Offer__c')])"
589,False,,,True,False,False,False,True,False,False,False,False,False,0UG,Onboarding Metrics,Onboarding Metrics,False,False,False,OnboardingMetrics,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/OnboardingMetrics/{ID}'), ('describe', '/services/data/v57.0/sobjects/OnboardingMetrics/describe'), ('sobject', '/services/data/v57.0/sobjects/OnboardingMetrics')])"
590,False,,,False,False,False,False,False,False,False,False,False,False,,Open Activity,Open Activities,False,False,False,OpenActivity,False,False,False,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/OpenActivity/{ID}'), ('describe', '/services/data/v57.0/sobjects/OpenActivity/describe'), ('sobject', '/services/data/v57.0/sobjects/OpenActivity')])"
591,False,,,True,False,False,True,True,False,True,False,False,False,006,Opportunity,Opportunities,True,False,True,Opportunity,True,True,True,True,True,True,True,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/Opportunity/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/Opportunity/{ID}'), ('approvalLayouts', '/services/data/v57.0/sobjects/Opportunity/describe/approvalLayouts'), ('listviews', '/services/data/v57.0/sobjects/Opportunity/listviews'), ('describe', '/services/data/v57.0/sobjects/Opportunity/describe'), ('quickActions', '/services/data/v57.0/sobjects/Opportunity/quickActions'), ('layouts', '/services/data/v57.0/sobjects/Opportunity/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/Opportunity')])"
592,False,ChangeEvent,Opportunity,False,False,False,False,False,False,False,False,False,False,,Opportunity Change Event,Opportunity Change Event,False,False,False,OpportunityChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/OpportunityChangeEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/OpportunityChangeEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/OpportunityChangeEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/OpportunityChangeEvent')])"
593,False,,,True,False,False,False,True,False,False,False,False,False,00J,Opportunity: Competitor,Opportunity: Competitor,False,False,False,OpportunityCompetitor,True,True,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/OpportunityCompetitor/{ID}'), ('describe', '/services/data/v57.0/sobjects/OpportunityCompetitor/describe'), ('sobject', '/services/data/v57.0/sobjects/OpportunityCompetitor')])"
594,False,,,True,False,False,False,True,False,False,False,False,False,00K,Opportunity Contact Role,Opportunity Contact Role,True,False,False,OpportunityContactRole,True,True,True,False,True,False,True,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/OpportunityContactRole/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/OpportunityContactRole/{ID}'), ('describe', '/services/data/v57.0/sobjects/OpportunityContactRole/describe'), ('quickActions', '/services/data/v57.0/sobjects/OpportunityContactRole/quickActions'), ('layouts', '/services/data/v57.0/sobjects/OpportunityContactRole/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/OpportunityContactRole')])"
595,False,ChangeEvent,OpportunityContactRole,False,False,False,False,False,False,False,False,False,False,,Opportunity Contact Role Change Event,Opportunity Contact Role Change Event,False,False,False,OpportunityContactRoleChangeEvent,False,False,True,False,True,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/OpportunityContactRoleChangeEvent/{ID}'), ('eventSchema', '/services/data/v57.0/sobjects/OpportunityContactRoleChangeEvent/eventSchema'), ('describe', '/services/data/v57.0/sobjects/OpportunityContactRoleChangeEvent/describe'), ('sobject', '/services/data/v57.0/sobjects/OpportunityContactRoleChangeEvent')])"
596,False,Feed,Opportunity,False,False,False,False,True,False,False,False,False,False,,Opportunity Feed,Opportunity Feed,False,False,False,OpportunityFeed,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/OpportunityFeed/{ID}'), ('describe', '/services/data/v57.0/sobjects/OpportunityFeed/describe'), ('sobject', '/services/data/v57.0/sobjects/OpportunityFeed')])"
597,False,History,Opportunity,False,False,False,False,False,False,False,False,False,False,,Opportunity Field History,Opportunity Field History,False,False,False,OpportunityFieldHistory,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/OpportunityFieldHistory/{ID}'), ('describe', '/services/data/v57.0/sobjects/OpportunityFieldHistory/describe'), ('sobject', '/services/data/v57.0/sobjects/OpportunityFieldHistory')])"
598,False,,,False,False,False,False,False,False,False,False,False,False,008,Opportunity History,Opportunity History,False,False,False,OpportunityHistory,True,True,True,False,False,False,False,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/OpportunityHistory/{ID}'), ('describe', '/services/data/v57.0/sobjects/OpportunityHistory/describe'), ('sobject', '/services/data/v57.0/sobjects/OpportunityHistory')])"
599,False,,,True,False,False,False,True,False,False,False,False,False,00k,Opportunity Product,Opportunity Product,True,False,True,OpportunityLineItem,True,True,True,False,True,False,True,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/OpportunityLineItem/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/OpportunityLineItem/{ID}'), ('describe', '/services/data/v57.0/sobjects/OpportunityLineItem/describe'), ('layouts', '/services/data/v57.0/sobjects/OpportunityLineItem/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/OpportunityLineItem')])"
600,False,,,True,False,False,False,True,False,False,False,False,False,00I,Opportunity Partner,Opportunity Partner,True,False,False,OpportunityPartner,True,False,True,False,False,False,False,"OrderedDict([('compactLayouts', '/services/data/v57.0/sobjects/OpportunityPartner/describe/compactLayouts'), ('rowTemplate', '/services/data/v57.0/sobjects/OpportunityPartner/{ID}'), ('describe', '/services/data/v57.0/sobjects/OpportunityPartner/describe'), ('layouts', '/services/data/v57.0/sobjects/OpportunityPartner/describe/layouts'), ('sobject', '/services/data/v57.0/sobjects/OpportunityPartner')])"
601,False,Share,Opportunity,True,False,False,False,True,False,False,False,False,False,00t,Opportunity Share,Opportunity Share,False,False,False,OpportunityShare,True,False,True,False,False,False,True,"OrderedDict([('rowTemplate', '/services/data/v57.0/sobjects/OpportunityShare/{ID}'), ('describe', '/services/data/v57.0/sobjects/OpportunityShare/describe'), ('sobject', '/services/data/v57.0/sobjects/OpportunityShare')])"
